High,Low,Open,Close,Volume,Adj Close
135.3800049,130.9299927,133.75,134.1399994,106239800,133.3181152
136.3099976,134.6100006,135.7299957,134.9900055,83305400,134.1629333
135.7700043,133.6100006,135.7599945,133.9400024,89880900,133.119339
137.3999939,134.5899963,136.3000031,137.3899994,84183100,136.5482178
137.4199982,135.8600006,137.3500061,136.7599945,75693800,136.1251678
136.9600067,134.9199982,136.0299988,136.9100037,71297200,136.2744904
137.8800049,135.8500061,136.6199951,136.0099945,76774200,135.3786469
136.9900055,134.3999939,136.4799957,135.3899994,73046600,134.7615204
136.3899994,133.7700043,135.8999939,135.1300049,64280000,134.5027466
135.5299988,133.6900024,134.3500061,135.3699951,60145100,134.7416077
136.0099945,132.7899933,135.4900055,133.1900024,80576300,132.5717621
132.2200012,129.4700012,131.25,130.8399963,97918500,130.232666
130,127.4100037,129.1999969,129.7100067,96856700,129.1078949
130.7100067,128.8000031,130.2400055,129.8699951,87668800,129.2671661
129.7200012,125.5999985,128.0099945,126,103916400,125.4151306
126.7099991,118.3899994,123.7600021,125.8600006,158273000,125.2757721
125.5599976,122.2300034,124.9400024,125.3499985,111039900,124.7681427
126.4599991,120.5400009,124.6800003,120.9899979,148199500,120.4283829
124.8499985,121.1999969,122.5899963,121.2600021,164560400,120.6971283
127.9300003,122.7900009,123.75,127.7900009,116307900,127.1968231
128.7200012,125.0100021,128.4100037,125.1200027,102260900,124.5392075
125.7099991,121.8399963,124.8099976,122.0599976,112966300,121.4934082
123.5999985,118.6200027,121.75,120.1299973,178155000,119.5723648
121.9400024,117.5699997,120.9800034,121.4199982,153766600,120.8563843
121,116.2099991,120.9300003,116.3600006,154376600,115.81987
122.0599976,118.7900009,119.0299988,121.0899963,129525800,120.527916
122.1699982,119.4499969,121.6900024,119.9800034,111943300,119.4230804
123.2099991,121.2600021,122.5400009,121.9599991,103026500,121.3938751
121.1699982,119.1600037,120.4000015,121.0299988,88105100,120.4681931
124,120.4199982,121.4100037,123.9899979,92403800,123.4144592
127.2200012,124.7200012,125.6999969,125.5699997,115227900,124.9871216
125.8600006,122.3399963,124.0500031,124.7600021,111932600,124.1808853
123.1800003,120.3199997,122.8799973,120.5299988,121229700,119.9705124
121.4300003,119.6800003,119.9000015,119.9899979,185549500,119.4330215
123.8700027,120.2600021,120.3300018,123.3899994,111912300,122.8172455
124.2399979,122.1399994,123.3300018,122.5400009,95467100,121.9711914
122.9000015,120.0699997,122.8199997,120.0899963,88530500,119.5325546
121.6600037,119,119.5400009,120.5899963,98844700,120.0302353
121.4800034,118.9199982,120.3499985,121.2099991,94071200,120.6473618
122.5800018,120.7300034,121.6500015,121.3899994,80819200,120.8265228
120.4000015,118.8600006,120.1100006,119.9000015,85671900,119.3434372
123.5199966,121.1500015,121.6500015,122.1500015,118323800,121.5830002
124.1800003,122.4899979,123.6600037,123,75089100,122.4290466
126.1600037,123.0699997,123.8700027,125.9000015,88651200,125.3155975
127.1299973,125.6500015,126.5,126.2099991,80171300,125.6241531
127.9199982,125.1399994,125.8300018,127.9000015,83466700,127.3063049
130.3899994,128.5200043,128.9499969,130.3600006,88844600,129.7548828
